% Model:              half_space.mph
% Version:            COMSOL 5.2.0.166
% Date:               Oct 1 2016, 08:31
% Dimension:          1
% Nodes:              361
% Expressions:        1
% Description:        Far field
% theta                   r
0                         0
0.017453292519943295      2.1689033943895537E-16
0.03490658503988659       3.447675198783799E-16
0.05235987755982988       5.429330845181581E-16
0.06981317007977318       1.0642887866431075E-15
0.08726646259971647       1.5040743107939595E-15
0.10471975511965977       1.5590153692889305E-15
0.12217304763960307       1.375804910582123E-15
0.13962634015954636       1.3085149660315417E-15
0.15707963267948966       1.2866285105259143E-15
0.17453292519943295       1.2114981387786161E-15
0.19198621771937624       1.1916509240323779E-15
0.20943951023931953       1.1401870001522835E-15
0.22689280275926285       1.1039750379955117E-15
0.24434609527920614       1.067113363030572E-15
0.2617993877991494        1.0297694292601807E-15
0.2792526803190927        9.822940500839205E-16
0.29670597283903605       9.447039842523277E-16
0.3141592653589793        8.955265446998331E-16
0.3316125578789226        8.394496342527069E-16
0.3490658503988659        8.007909731750971E-16
0.3665191429188092        7.330478769898974E-16
0.3839724354387525        6.900444760276153E-16
0.40142572795869574       6.347017002793973E-16
0.41887902047863906       5.770679541169849E-16
0.4363323129985824        5.369547852693221E-16
0.4537856055185257        4.792953904969941E-16
0.47123889803846897       4.4033623118391753E-16
0.4886921905584123        3.968279261612998E-16
0.5061454830783556        3.558905644632252E-16
0.5235987755982988        3.254406049584301E-16
0.5410520681182421        2.87843236294836E-16
0.5585053606381855        2.650522270592365E-16
0.5759586531581288        2.3732106966936407E-16
0.5934119456780721        2.142176541549154E-16
0.6108652381980153        2.0291978329008415E-16
0.6283185307179586        1.7973346148648096E-16
0.6457718232379019        1.7293393339123036E-16
0.6632251157578452        1.6945231027714496E-16
0.6806784082777885        1.5428425958630757E-16
0.6981317007977318        1.607040733111823E-16
0.715584993317675         1.649628071666741E-16
0.7330382858376184        1.5880772088599473E-16
0.7504915783575616        1.728277489587179E-16
0.767944870877505         1.8593482631748103E-16
0.7853981633974483        1.8892720638781773E-16
0.8028514559173915        2.0420954154194108E-16
0.8203047484373349        2.225155757144897E-16
0.8377580409572781        2.349655405042049E-16
0.8552113334772214        2.5072307746104195E-16
0.8726646259971648        2.665788574761502E-16
0.890117918517108         2.818275131379779E-16
0.9075712110370514        3.019367793390918E-16
0.9250245035569946        3.1752279565116703E-16
0.9424777960769379        3.2505639997767717E-16
0.9599310885968813        3.394143179245113E-16
0.9773843811168246        3.6177712991586336E-16
0.9948376736367678        3.7433747009354934E-16
1.0122909661567112        3.751294522487779E-16
1.0297442586766543        3.813449616591333E-16
1.0471975511965976        3.987008558178942E-16
1.064650843716541         4.1298527157844563E-16
1.0821041362364843        4.1453631095502686E-16
1.0995574287564276        4.0999309967828124E-16
1.117010721276371         4.111015262208385E-16
1.1344640137963142        4.194881152041706E-16
1.1519173063162575        4.272306580374174E-16
1.1693705988362006        4.2750348116342183E-16
1.1868238913561442        4.2021431890402794E-16
1.2042771838760873        4.106367667561304E-16
1.2217304763960306        4.038490970315481E-16
1.239183768915974         4.0067408698414676E-16
1.2566370614359172        3.984245542937541E-16
1.2740903539558606        3.939280755256263E-16
1.2915436464758039        3.8564301599883994E-16
1.3089969389957472        3.738344861170867E-16
1.3264502315156903        3.594585608170741E-16
1.3439035240356338        3.4307746398722424E-16
1.361356816555577         3.2459875115353505E-16
1.3788101090755203        3.0369871527268404E-16
1.3962634015954636        2.8035705828218884E-16
1.413716694115407         2.550894721919601E-16
1.43116998663535          2.2882943143431604E-16
1.4486232791552935        2.0264220542076302E-16
1.4660765716752369        1.774688159309176E-16
1.4835298641951802        1.5399326767809703E-16
1.5009831567151233        1.3262470092199222E-16
1.5184364492350666        1.1354244134122222E-16
1.53588974175501          9.675734467801728E-17
1.5533430342749535        8.216606348705723E-17
1.5707963267948966        6.959389629199714E-17
1.5882496193148399        5.883086883241472E-17
1.605702911834783         4.966738859823727E-17
1.6231562043547263        4.193313996930639E-17
1.6406094968746698        3.553487577458605E-17
1.6580627893946132        3.047032023967789E-17
1.6755160819145563        2.676765097570414E-17
1.6929693744344996        2.431063706152113E-17
1.710422666954443         2.2651310464944936E-17
1.7278759594743864        2.1059901748027306E-17
1.7453292519943295        1.8879056222766298E-17
1.7627825445142729        1.5973472421204876E-17
1.780235837034216         1.3033308377631515E-17
1.7976891295541593        1.1207011164798878E-17
1.8151424220741028        1.047705054775231E-17
1.8325957145940461        9.350315619417087E-18
1.8500490071139892        7.134810388137536E-18
1.8675022996339325        4.80483161882379E-18
1.8849555921538759        3.182668340506566E-18
1.902408884673819         1.2419458883122564E-18
1.9198621771937625        1.3926113005464315E-18
1.9373154697137058        2.967898541428047E-18
1.9547687622336491        4.477911213738904E-18
1.9722220547535922        7.10633504727265E-18
1.9896753472735356        7.950717824166609E-18
2.007128639793479         7.09310510854807E-18
2.0245819323134224        7.846381661869984E-18
2.0420352248333655        6.316277436144324E-18
2.0594885173533086        2.3359198349956977E-18
2.076941809873252         9.84461689424159E-19
2.0943951023931953        3.5100774365422135E-18
2.111848394913139         7.029180358322106E-18
2.129301687433082         7.114212165446492E-18
2.1467549799530254        8.227866044150131E-18
2.1642082724729685        4.6984491494665345E-18
2.1816615649929116        1.072016622832821E-18
2.199114857512855         3.522675306037239E-18
2.2165681500327987        7.012062896000724E-18
2.234021442552742         6.9052957925984834E-18
2.251474735072685         5.530328642609859E-18
2.2689280275926285        1.353062124619875E-19
2.286381320112572         3.475153613068321E-18
2.303834612632515         7.182302579232487E-18
2.321287905152458         4.7803666081780496E-18
2.3387411976724013        2.1428835219924848E-18
2.356194490192345         4.028155844626431E-18
2.3736477827122884        5.182418174768271E-18
2.3911010752322315        5.12352630690673E-18
2.4085543677521746        1.2651765686783006E-18
2.426007660272118         4.095821108993079E-18
2.443460952792061         5.56470820890891E-18
